count;word;hiragana;meaning;jlpt level
1;VocabList.N1.doc;VocabList.N1.pdf;n1-vocab-kanji-eng.mem;1
3;嗚呼;ああ;Ah!, Oh!, Alas!;1
4;相;あい;together, mutually, fellow;1
5;相変わらず;あいかわらず;as ever, as usual, the same;1
6;愛想;あいそ;civility, courtesy, compliments, sociability, graces;1
7;相対;あいたい;confrontation, facing, between ourselves, no third party, tete-a-tete;1
8;間柄;あいだがら;relation(ship);1
9;愛憎;あいにく;likes and dislikes;1
10;合間;あいま;interval;1
11;曖昧;あいまい;vague, ambiguous;1
12;敢えて;あえて;dare (to do), challenge (to do);1
13;仰ぐ;あおぐ;to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take;1
14;垢;あか;dirt, filth;1
15;亜科;あか;suborder, subfamily;1
16;銅;あかがね;copper;1
17;証;あかし;proof, evidence;1
18;赤字;あかじ;deficit, go in the red;1
19;明かす;あかす;to pass, spend, to reveal, to divulge;1
20;赤ちゃん;あかちゃん;baby, infant;1
21;明白;あからさま;obvious, overt, plainly, frankly;1
22;赤らむ;あからむ;to become red, to redden, to blush;1
23;明るい;あかるい;bright, cheerful;1
24;上がり;あがり;1.  slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after;1
25;上がる;あがる;to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on, ;1
26;商人;あきうど;trader, shopkeeper, merchant;1
27;空間;あきま;vacancy, room for rent or lease;1
28;諦め;あきらめ;resignation, acceptance, consolation;1
29;呆れる;あきれる;to be amazed, to be shocked;1
30;悪;あく;evil, wickedness;1
31;灰;あく;puckery juice;1
32;none;あくどい;1.  gaudy, showy, excessive,  2.  vicious;1
33;悪日;あくび;unlucky day;1
34;明くる;あくる;next, following;1
35;憧れ;あこがれ;yearning, longing, aspiration;1
36;顎;あご;chin;1
37;麻;あさ;flax, linen, hemp;1
38;明後日;あさって;day after tomorrow;1
39;朝寝坊;あさねぼう;oversleeping, late riser;1
40;浅ましい;あさましい;wretched, miserable, shameful, mean, despicable, abject;1
41;字;あざ;section of village;1
42;欺く;あざむく;to deceive;1
43;鮮やか;あざやか;vivid, clear, brilliant;1
44;あざ笑う;あざわらう;to sneer at, to ridicule;1
45;味わい;あじわい;flavour, meaning, significance;1
46;東;あずま;east, Eastern Japan;1
47;焦る;あせる;to be in a hurry, to be impatient;1
48;彼処;あそこ;1.  (uk) there, over there, that place,  2.  (X) (col) genitals;1
49;値;あたい;value, price, cost, worth, merit;1
50;値する;あたいする;to be worth, to deserve, to merit;1
51;私;あたし;I (fem);1
52;当たり;あたり;hit, success, reaching the mark, per ..., vicinity, neighborhood;1
53;当たり前;あたりまえ;usual, common, ordinary, natural, reasonable, obvious;1
54;他人;あだびと;another person, unrelated person, outsider, stranger;1
55;彼方此方;あちこち;here and there;1
56;彼方;あちら;1.  there, yonder, that;1
57;彼方此方;あちらこちら;here and there;1
58;悪化;あっか;deterioration, growing worse, aggravation, degeneration, corruption;1
59;呆気ない;あっけない;not enough, too quick (short  long  etc.);1
60;悪口;あっこう;abuse, insult, slander, evil speaking;1
61;none;あっさり;easily, readily, quickly;1
62;圧迫;あっぱく;pressure, coercion, oppression;1
63;扱い;あつかい;treatment, service;1
64;集まる;あつまる;to gather, to collect, to assemble;1
65;誂える;あつらえる;to give an order, to place an order;1
66;圧力;あつりょく;stress, pressure;1
67;当て;あて;object, aim, end, hopes, expectations;1
68;宛;あて;addressed to;1
69;当て字;あてじ;phonetic-equivalent character, substitute character;1
70;当てはまる;あてはまる;to apply (a rule);1
71;当てはめる;あてはめる;to apply, to adapt;1
72;宛てる;あてる;to address;1
73;跡継ぎ;あとつぎ;heir, successor;1
74;後回し;あとまわし;putting off, postponing;1
75;貴女;あなた;you, lady;1
76;彼の;あの;that over there;1
77;溢れる;あふれる;to flood, to overflow, to brim over;1
78;油絵;あぶらえ;oil painting;1
79;炙る;あぶる;to scorch;1
80;none;あべこべ;contrary, opposite, inverse;1
81;甘える;あまえる;to behave like a spoiled child, to fawn on;1
82;甘口;あまくち;sweet flavour, mildness, flattery, stupidity;1
83;雨具;あまぐ;rain gear;1
84;天;あまつ;heavenly, imperial;1
85;網;あみ;net, network;1
86;天地;あめつち;heaven and earth, the universe, nature, top and bottom, realm, sphere, world;1
87;操る;あやつる;to manipulate, to operate, to pull strings;1
88;none;あやふや;uncertain, vague, ambiguous;1
89;危ぶむ;あやぶむ;to fear, to have misgivings, to be doubtful, to mistrust;1
90;過ち;あやまち;fault, error, indiscretion;1
91;誤る;あやまる;to make a mistake;1
92;歩み;あゆみ;walking;1
93;歩む;あゆむ;to walk, to go on foot;1
94;none;あら;oh, ah, saw-edged perch (Niphon spinosus);1
95;予め;あらかじめ;beforehand, in advance, previously;1
96;荒らす;あらす;to lay waste, to devastate, to damage, to invade, to break into;1
97;粗筋;あらすじ;outline, summary;1
98;争い;あらそい;dispute, strife, quarrel, dissension, conflict, rivalry, contest;1
99;改まる;あらたまる;to be renewed;1
100;荒っぽい;あらっぽい;rough, rude;1
