Order,id,kanji_name,kanji_meaning,strokes,grade,newspaper_frequency,jlpt_level,jinmeiyo,twitter_frequency,aozora_frequency,wikipedia_frequency,news_frequency,sum,missing_column,# strokes bonus,TOTAL SCORE,top 100,,top 100 bonus,Not Jouyou Penalty
1,1081,人,person,2,1,247,5,1,5,2,8,5,12,no,589,-577,1,99,10000,0
2,2148,一,one,1,1,497,5,1,9,3,11,28,40,no,599,-559,1,,10000,0
3,1323,大,large,3,1,174,5,1,6,8,5,3,17,no,553,-536,1,,10000,0
4,1020,上,up,3,1,264,5,1,39,13,24,12,64,no,553,-489,1,,10000,0
5,771,子,child,3,1,318,5,1,36,9,29,29,74,no,553,-479,1,,10000,0
6,1594,日,day,4,1,105,5,1,3,6,3,2,11,no,472,-461,1,,10000,0
7,1595,入,enter,2,1,106,5,1,47,46,102,59,152,no,589,-437,1,,10000,0
8,1387,中,middle,4,1,165,5,1,18,16,10,8,42,no,472,-430,1,,10000,0
9,1796,分,minute,4,2,76,5,0,19,14,46,15,48,no,472,-424,1,,10000,0
10,524,月,"month, moon",4,1,376,5,1,38,48,4,10,96,no,472,-376,1,,10000,0
11,756,山,mountain,3,1,322,5,1,61,52,33,69,182,no,553,-371,1,,10000,0
12,142,下,below,3,1,471,5,1,66,38,80,86,190,no,553,-363,1,,10000,0
13,874,手,hand,4,1,280,4,0,58,25,40,27,110,no,472,-362,1,,10000,0
14,963,女,woman,3,1,253,5,1,83,27,116,87,197,no,553,-356,1,,10000,0
15,681,今,now,4,2,347,5,1,4,37,458,81,122,no,472,-350,1,,10000,0
16,1840,方,direction,4,2,54,4,0,40,22,84,62,124,no,472,-348,1,,10000,0
17,970,小,small,3,1,256,5,1,119,43,58,125,287,no,553,-266,1,,10000,0
18,1178,川,river,3,1,207,5,1,59,164,49,83,306,no,553,-247,1,,10000,0
19,2085,力,power,2,1,9,4,0,183,71,144,100,354,no,589,-235,1,,10000,0
20,755,三,three,3,1,320,5,1,149,31,111,174,354,no,553,-199,1,,10000,0
21,1052,心,heart,4,2,238,4,0,162,36,315,119,317,no,472,-155,1,,10000,0
22,1581,内,inside,4,2,125,3,0,194,114,66,34,342,no,472,-130,1,,10000,0
23,1092,水,water,4,1,228,5,1,133,77,135,152,362,no,472,-110,1,,10000,0
24,1588,二,two,2,1,104,5,1,158,19,173,348,525,no,589,-64,1,,10000,0
25,1747,不,non-,4,4,77,4,0,219,65,220,158,442,no,472,-30,1,,10000,0
26,598,口,mouth,3,1,354,4,0,188,90,178,296,574,no,553,21,1,,10000,0
27,829,時,time,10,2,304,5,1,8,12,30,11,31,no,0,31,2,,0,0
28,937,出,exit,5,1,267,5,1,16,5,13,18,39,no,0,39,1,,10000,0
29,614,行,go,6,2,342,5,1,7,11,20,26,44,no,0,44,1,,10000,0
30,527,見,see,7,1,383,5,1,12,4,127,33,49,no,0,49,1,,10000,0
31,1897,本,book,5,1,60,5,1,17,28,6,9,54,no,0,54,1,,10000,0
32,1177,千,thousand,3,1,206,5,1,141,292,354,181,614,no,553,61,1,,10000,0
33,825,事,abstract thing,8,3,301,4,0,25,17,34,23,65,no,0,65,2,,0,0
34,1208,前,in front,9,2,212,5,1,23,34,62,22,79,no,0,79,2,,0,0
35,1604,年,year,6,1,109,5,1,48,30,2,4,82,no,0,82,1,,10000,0
36,281,間,interval,12,2,428,5,1,14,24,44,45,83,no,0,83,2,,0,0
37,1887,木,tree,4,1,33,5,1,202,119,143,245,566,no,472,94,1,,10000,0
