著	チョ ・ あらわす ・ いちじるしい		general
視	シ		general
謁	エツ		general
謹	キン ・ つつしむ		general
賓	ヒン		general
贈	ソウ ・ ゾウ ・ おくる		general
逸	しんにょう		general
難	ナン ・ かたい ・ むずかしい		general
響	キョウ ・ ひびく		general
社	シャ ・ やしろ		general
祉	ツ		general
祈	キ ・ いのる		general
祐	ユウ ・ たすけ ・ たすける		general
祖	ソ		general
祝	シュウ ・ シュク ・ いわう		general
禍	カ		general
禎	テイ ・ さいわい		general
穀	コク		general
突	トツ ・ つく		general
節	セチ ・ セツ ・ ふし		general
練	コウ		general
繁	ハン		general
署	ショ		general
者	シャ ・ もの		general
臭	シュウ ・ くさい		general
鷗	オウ ・ かもめ	seagull; tern	general
俱	ク ・ ともに	all; together; accompany	general
卽	ソク ・ ショク ・ つく ・ すなわち ・ もし	promptly	general
吞	ドン ・ トン ・ テン ・ のむ	swallow; absorb; annex; engulf	general
增	ゾウ ・ ソウ ・ ます ・ ふえる ・ ふやす	increase; add to; augment	general
寬	カン ・ ひろい ・ ゆるやか ・ くつろぐ	broad; wide; spacious; vast	general
巢		nest; living quarter in tree	general
徵	チョウ ・ チ ・ しるし ・ めす	summon; recruit; musical note	general
德	トク ・ おしえ	ethics; morality; virtue	general
揭	ケイ ・ ケツ ・ かかげる	raise; lift up; surname	general
晚	バン ・ くれ ・ おそい	night; evening; late	general
曆	レキ ・ こよみ	calendar; era	general
橫	オウ ・ コウ ・ よこ ・ よこたわる ・ よこたえる ・ よこ ・ よこたわる ・ よこたえる	across; horizontal; lateral	general
步	ホ ・ ブ ・ フ ・ あるく ・ あゆむ ・ あゆみ	step; pace; walk; stroll	general
歷		take place; past; history	general
每	マイ ・ バイ ・ つね	every; each	general
涉	ショウ ・ わたる ・ かかわる	ford stream; wade across	general
淚	ルイ ・ レイ ・ なみだ	tears; weep; cry	general
渴	カツ ・ かわく ・ かわき	thirsty; parched; yearn; pine	general
溫	オン ・ ウン ・ あたたか ・ あたためる	lukewarm; warm; tepid; mild	general
瀨	ライ ・ せ	swift current; rapids	general
狀	ジョウ	form; appearance; shape; official	general
簞	タン ・ はこ	small bamboo basket for holding	general
綠	リョク ・ ロク ・ みどり	green; chlorine	general
緖	ショ ・ チョ ・ お ・ いとぐち	end of thread; thread; clue	general
緣	エン ・ ふち ・ へり ・ よる	hem; margin; reason; cause; karma; fate	general
薰	クン ・ かおる ・ かおりぐさ ・ かおり	a medicinal herb; to cauterize	general
虛	キョ ・ コ ・ むなしい	false; worthless; empty; hollow	general
蟬	セン ・ ゼン ・ せみ	cicada; continuous	general
賴	ライ ・ たのむ ・ たよる ・ たより	rely; depend on; accuse falsely	general
郞	ロウ ・ おとこ	gentleman	general
錄	ロク ・ リョ ・ しるす	copy; write down; record	general
鍊	レン ・ ねる	smelt metals; forge; refine	general
黃	コウ ・ オウ ・ き	yellow; surname	general
黑	コク ・ くろい ・ くろ	black; dark; evil; sinister	general
欄		railing; balustrade; animal pan	general
廊		corridor; porch; veranda	general
朗		clear; bright; distinct	general
虜		capture; imprison; seize; prison	general
類		class; group; kind; category	general
猪	チョ ・ いのしし ・ い	pig	general
神	シン ・ ジン ・ かみ ・ こう ・ たましい	spirit	general
祥	ショウ ・ さいわい	good luck	general
福	フク ・ さいわい ・ ひもろぎ	happiness	general
諸	ショ ・ もろ ・ これ	several	general
都			general
侮	ブ ・ あなどる		general
僧	ソウ		general
勉	ベン		general
勤	キン ・ ゴン ・ つとまる ・ つとめる		general
卑	ヒ ・ いやしい ・ いやしむ ・ いやしめる		general
嘆	タン ・ なげかわしい ・ なげく		general
器	キ ・ うつわ		general
墨	ボク ・ すみ		general
層	ソウ		general
悔	カイ ・ くいる ・ くやしい ・ くやむ		general
憎	ゾウ ・ にくい ・ にくしみ ・ にくむ ・ にくらしい		general
懲	チョウ ・ こらしめる ・ こらす ・ こりる		general
敏	ビン		general
暑	ショ ・ あつい		general
梅	バイ ・ うめ		general
海	カイ ・ うみ		general
渚	ショ ・ なぎさ		general
漢	カン		general
煮	シャ ・ にえる ・ にやす ・ にる		general
琢	タク ・ みがく		general
碑	ヒ		general
頰	キョウ ・ ほお ・ ほほ	cheeks; jaw	general
醬	ショウ ・ ひしお	any jam-like or paste-like food	general
萊	ライ ・ リ ・ あかざ ・ あれわ ・ こうがい	goosefoot; weed; fallow field	general
蔣	ショウ ・ ソウ ・ まこも ・ はげます	surname; hydropyrum latifalium	general
蠟	ロウ ・ みつろう ・ ろうそく	wax; candle; waxy; glazed	general
繡	シュウ ・ ぬいとり	embroider; embroidery; ornament	general
