齢	レイ ・ よわい ・ とし	age	general
歴	レキ ・ レッキ	curriculum; continuation; passage of time	general
列	レツ ・ レ	file; row; rank; tier; column	general
練	レン ・ ねる ・ ねり	practice; gloss; train; drill; polish; refine	general
路	ロ ・ ル ・ -じ ・ みち	path; route; road; distance	general
露	ロ ・ ロウ ・ つゆ	dew; tears; expose; Russia	general
老	ロウ ・ おいる ・ ふける	old man; old age; grow old	general
郎	ロウ ・ リョウ ・ おとこ	son; counter for sons	general
録	ロク	record	general
惑	ワク ・ まどう	beguile; delusion; perplexity	general
枠	わく	frame; framework; spindle; spool; bounding-box; (kokuji)	general
湾	ワン ・ いりえ	gulf; bay; inlet	general
良	リョウ ・ よい ・ -よい ・ いい ・ -いい	good; pleasing; skilled	general
林	リン ・ はやし	grove; forest	general
臨	リン ・ のぞむ	look to; face; meet; confront; attend; call on	general
輪	リン ・ わ	wheel; ring; circle; link; loop; counter for wheels and flowers	general
塁	ルイ ・ ライ ・ スイ ・ とりで	bases; fort; rampart; walls; base(ball)	general
類	ルイ ・ たぐい	sort; kind; variety; class; genus	general
令	レイ	orders; ancient laws; command; decree	general
冷	レイ ・ つめたい ・ ひえる ・ ひや ・ ひややか ・ ひやす ・ ひやかす ・ さめる ・ さます	cool; cold (beer, person); chill	general
鈴	レイ ・ リン ・ すず	small bell; buzzer	general
養	ヨウ ・ リョウ ・ やしなう	foster; bring up; rear; develop; nurture	general
抑	ヨク ・ おさえる	repress; well; now; in the first place; push; shove; press; seal; do in spite of	general
欲	ヨク ・ ほっする ・ ほしい	longing; covetousness; greed; passion; desire; craving	general
頼	ライ ・ たのむ ・ たのもしい ・ たよる	trust; request	general
絡	ラク ・ からむ ・ からまる	entwine; coil around; get caught in	general
乱	ラン ・ ロン ・ みだれる ・ みだる ・ みだす ・ みだ ・ おさめる ・ わたる	riot; war; disorder; disturb	general
裏	リ ・ うら	back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side	general
離	リ ・ はなれる ・ はなす	detach; separation; disjoin; digress	general
陸	リク ・ ロク ・ おか	land; six	general
律	リツ ・ リチ ・ レツ	rhythm; law; regulation; gauge; control	general
略	リャク ・ ほぼ ・ おかす ・ おさめる ・ はかりごと ・ はかる ・ はぶく ・ りゃくす ・ りゃくする	abbreviation; omission; outline; shorten; capture; plunder	general
留	リュウ ・ ル ・ とめる ・ とまる ・ とどめる ・ とどまる ・ るうぶる	detain; fasten; halt; stop	general
慮	リョ ・ おもんぱくる ・ おもんぱかる	prudence; thought; concern; consider; deliberate; fear	general
旅	リョ ・ たび	trip; travel	general
了	リョウ	complete; finish	general
僚	リョウ	colleague; official; companion	general
療	リョウ	heal; cure	general
預	ヨ ・ あずける ・ あずかる	deposit; custody; leave with; entrust to	general
曜	ヨウ	weekday	general
洋	ヨウ	ocean; western style	general
誘	ユウ ・ イウ ・ さそう ・ いざなう	entice; lead; tempt; invite; ask; call for; seduce; allure	general
遊	ユウ ・ ユ ・ あそぶ ・ あそばす	play	general
郵	ユウ	mail; stagecoach stop	general
雄	ユウ ・ お- ・ おす ・ おん	masculine; male; hero; leader; superiority; excellence	general
夕	セキ ・ ゆう	evening	general
余	ヨ ・ あまる ・ あまり ・ あます ・ あんまり	too much; myself; surplus; other; remainder	general
友	ユウ ・ とも	friend	general
油	ユ ・ ユウ ・ あぶら	oil; fat	general
薬	ヤク ・ くすり	medicine; chemical; enamel; gunpowder; benefit	general
躍	ヤク ・ おどる	leap; dance; skip	general
戻	レイ ・ もどす ・ もどる	re-; return; revert; resume; restore; go backwards	general
盟	メイ	alliance; oath	general
迷	メイ ・ まよう	astray; be perplexed; in doubt; lost; err; illusion	general
模	モ ・ ボ	imitation; copy; mock	general
